user_id,course_id,n_attempts,n_correct,accuracy_pct,effective_feedback_pct,process_pct,task_pct_orig,self_reg_pct,self_pct,ai_frequency,ai_frequency_log,num_courses,kg_pct,other_process_pct,task_pct_new,selfreg_pct,accuracy,ef_pct
U_1002476,C_799800,25,17,68.0,100.0,100.0,0.0,0.0,0.0,2,1.0986122886681098,0,100.0,0.0,0.0,0.0,68.0,100.0
U_10069021,C_943255,9,1,11.11,100.0,100.0,0.0,0.0,0.0,1,0.6931471805599453,0,100.0,0.0,0.0,0.0,11.11,100.0
U_10323277,C_735342,414,345,83.33,100.0,66.66666666666666,0.0,33.33333333333333,0.0,3,1.3862943611198906,0,66.66666666666666,0.0,0.0,33.33333333333333,83.33,100.0
U_10323307,C_680814,6,1,16.67,84.61538461538461,84.61538461538461,15.384615384615383,0.0,0.0,13,2.6390573296152584,0,46.15384615384615,38.46153846153847,15.384615384615383,0.0,16.67,84.61538461538461
U_10373464,C_837690,44,44,100.0,90.0,90.0,10.0,0.0,0.0,10,2.3978952727983707,0,90.0,0.0,10.0,0.0,100.0,90.0
U_10384709,C_883372,8,8,100.0,100.0,100.0,0.0,0.0,0.0,1,0.6931471805599453,0,0.0,100.0,0.0,0.0,100.0,100.0
U_10384809,C_799800,135,98,72.59,0.0,0.0,100.0,0.0,0.0,2,1.0986122886681098,0,0.0,0.0,100.0,0.0,72.59,0.0
U_10385004,C_799800,35,24,68.57,0.0,0.0,100.0,0.0,0.0,1,0.6931471805599453,0,0.0,0.0,100.0,0.0,68.57,0.0
U_10385081,C_799800,169,85,50.3,50.0,50.0,50.0,0.0,0.0,2,1.0986122886681098,0,0.0,50.0,50.0,0.0,50.3,50.0
U_10391494,C_1945689,5,5,100.0,50.0,0.0,50.0,50.0,0.0,2,1.0986122886681098,0,0.0,0.0,50.0,50.0,100.0,50.0
U_1040210,C_1756069,12,11,91.67,0.0,0.0,100.0,0.0,0.0,1,0.6931471805599453,0,0.0,0.0,100.0,0.0,91.67,0.0
U_1040210,C_1945689,25,20,80.0,0.0,0.0,100.0,0.0,0.0,1,0.6931471805599453,0,0.0,0.0,100.0,0.0,80.0,0.0
