user_id,problem_accuracy,process_count,process_pct,kg_count,kg_pct,other_process_count,other_process_pct,task_count_new,task_pct_new,task_pct,self_count_new,self_pct_new,selfreg_count,selfreg_pct,self_reg_pct,effective_feedback_pct
U_2480182,0.0,1,12.5,0,0.0,1,12.5,5,62.5,62.5,2,25.0,0,0.0,0.0,12.5
U_24556759,81.81818181818183,8,29.629629629629626,0,0.0,8,29.629629629629626,10,37.03703703703704,37.03703703703704,8,29.629629629629626,1,3.7037037037037033,3.7037037037037033,33.33333333333333
U_1070216,50.0,1,33.33333333333333,0,0.0,1,33.33333333333333,0,0.0,0.0,2,66.66666666666666,0,0.0,0.0,33.33333333333333
U_1705400,62.5,0,0.0,0,0.0,0,0.0,2,100.0,100.0,0,0.0,0,0.0,0.0,0.0
U_28187757,67.94871794871796,3,100.0,0,0.0,3,100.0,0,0.0,0.0,0,0.0,0,0.0,0.0,100.0
U_13119244,78.43866171003717,2,100.0,0,0.0,2,100.0,0,0.0,0.0,0,0.0,0,0.0,0.0,100.0
U_16708655,75.47892720306514,6,75.0,0,0.0,6,75.0,1,12.5,12.5,1,12.5,0,0.0,0.0,75.0
U_60988,74.4186046511628,0,0.0,0,0.0,0,0.0,6,85.71428571428571,85.71428571428571,1,14.285714285714285,0,0.0,0.0,0.0
U_29053267,33.33333333333333,6,100.0,3,50.0,3,50.0,0,0.0,0.0,0,0.0,0,0.0,0.0,100.0
U_29044454,77.4390243902439,1,100.0,0,0.0,1,100.0,0,0.0,0.0,0,0.0,0,0.0,0.0,100.0
U_14690231,68.42105263157895,6,85.71428571428571,1,14.285714285714285,5,71.42857142857143,0,0.0,0.0,0,0.0,1,14.285714285714285,14.285714285714285,100.0
U_15340240,85.71428571428571,9,75.0,0,0.0,9,75.0,2,16.666666666666664,16.666666666666664,0,0.0,1,8.333333333333332,8.333333333333332,83.33333333333334
U_12463575,78.26086956521739,1,100.0,0,0.0,1,100.0,0,0.0,0.0,0,0.0,0,0.0,0.0,100.0
U_8910057,88.62144420131291,13,38.23529411764706,8,23.52941176470588,5,14.705882352941178,13,38.23529411764706,38.23529411764706,6,17.647058823529413,2,5.88235294117647,5.88235294117647,44.11764705882353
U_15289090,82.22222222222221,3,100.0,0,0.0,3,100.0,0,0.0,0.0,0,0.0,0,0.0,0.0,100.0
