user_id,ai_frequency,ai_frequency_log,task_pct,process_pct,self_reg_pct,self_pct,other_pct,effective_feedback_pct,task_count,process_count,self_reg_count,self_count,other_count,total_problems,correct_problems,problem_accuracy,num_courses,avg_problems_per_course,usage_group,ai_effectiveness
U_2480182,8,2.1972245773362196,62.5,12.5,0.0,25.0,0.0,12.5,5,1,0,2,0,1,0,0.0,0,0,6-10次,Low
U_24556759,27,3.332204510175204,37.03703703703704,29.629629629629623,3.7037037037037033,29.629629629629623,0.0,33.33333333333333,10,8,1,8,0,66,54,81.81818181818183,0,0,21-50次,Low
U_1070216,3,1.3862943611198906,0.0,33.33333333333333,0.0,66.66666666666666,0.0,33.33333333333333,0,1,0,2,0,2,1,50.0,0,0,2-5次,Low
U_1705400,2,1.0986122886681098,100.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,16,10,62.5,0,0,2-5次,Low
U_28187757,3,1.3862943611198906,0.0,100.0,0.0,0.0,0.0,100.0,0,3,0,0,0,78,53,67.94871794871796,0,0,2-5次,High
U_13119244,2,1.0986122886681098,0.0,100.0,0.0,0.0,0.0,100.0,0,2,0,0,0,269,211,78.43866171003717,0,0,2-5次,High
U_16708655,8,2.1972245773362196,12.5,75.0,0.0,12.5,0.0,75.0,1,6,0,1,0,261,197,75.47892720306514,0,0,6-10次,High
U_60988,7,2.0794415416798357,85.71428571428571,0.0,0.0,14.285714285714285,0.0,0.0,6,0,0,1,0,129,96,74.4186046511628,0,0,6-10次,Low
U_29053267,6,1.9459101490553132,0.0,100.0,0.0,0.0,0.0,100.0,0,6,0,0,0,9,3,33.33333333333333,0,0,6-10次,High
U_29044454,1,0.6931471805599453,0.0,100.0,0.0,0.0,0.0,100.0,0,1,0,0,0,164,127,77.4390243902439,0,0,1次,High
U_14690231,7,2.0794415416798357,0.0,85.71428571428571,14.285714285714285,0.0,0.0,100.0,0,6,1,0,0,38,26,68.42105263157895,0,0,6-10次,High
U_15340240,12,2.5649493574615367,16.666666666666664,75.0,8.333333333333332,0.0,0.0,83.33333333333334,2,9,1,0,0,7,6,85.71428571428571,0,0,11-20次,High
U_12463575,1,0.6931471805599453,0.0,100.0,0.0,0.0,0.0,100.0,0,1,0,0,0,184,144,78.26086956521739,0,0,1次,High
U_8910057,34,3.5553480614894135,38.23529411764706,38.23529411764706,5.88235294117647,17.647058823529413,0.0,44.11764705882353,13,13,2,6,0,457,405,88.62144420131291,0,0,21-50次,Low
U_15289090,3,1.3862943611198906,0.0,100.0,0.0,0.0,0.0,100.0,0,3,0,0,0,45,37,82.22222222222221,0,0,2-5次,High
U_14861303,1,0.6931471805599453,0.0,100.0,0.0,0.0,0.0,100.0,0,1,0,0,0,8,6,75.0,0,0,1次,High
U_5987491,2,1.0986122886681098,50.0,0.0,50.0,0.0,0.0,50.0,1,0,1,0,0,183,151,82.5136612021858,0,0,2-5次,Low
U_26602796,2,1.0986122886681098,0.0,100.0,0.0,0.0,0.0,100.0,0,2,0,0,0,111,99,89.1891891891892,0,0,2-5次,High
