user_id,kg_pct,other_process_pct,task_pct,selfreg_pct
U_2480182,0.0,12.5,62.5,0.0
U_24556759,0.0,29.629629629629626,37.03703703703704,3.7037037037037033
U_1070216,0.0,33.33333333333333,0.0,0.0
U_1705400,0.0,0.0,100.0,0.0
U_28187757,0.0,100.0,0.0,0.0
U_13119244,0.0,100.0,0.0,0.0
U_16708655,0.0,75.0,12.5,0.0
U_60988,0.0,0.0,85.71428571428571,0.0
U_29053267,50.0,50.0,0.0,0.0
U_29044454,0.0,100.0,0.0,0.0
U_14690231,14.285714285714285,71.42857142857143,0.0,14.285714285714285
U_15340240,0.0,75.0,16.666666666666664,8.333333333333332
U_12463575,0.0,100.0,0.0,0.0
U_8910057,23.52941176470588,14.705882352941178,38.23529411764706,5.88235294117647
U_15289090,0.0,100.0,0.0,0.0
U_14861303,0.0,100.0,0.0,0.0
U_5987491,0.0,0.0,50.0,50.0
U_26602796,0.0,100.0,0.0,0.0
U_29643058,0.0,47.61904761904761,23.809523809523807,0.0
U_27726628,0.0,100.0,0.0,0.0
U_11800342,0.0,100.0,0.0,0.0
U_18486752,0.0,83.33333333333334,0.0,0.0
U_21345567,0.0,100.0,0.0,0.0
U_15404901,0.0,100.0,0.0,0.0
U_13458841,0.0,40.0,40.0,0.0
U_29596178,0.0,66.66666666666666,33.33333333333333,0.0
U_14663224,0.0,100.0,0.0,0.0
U_7146399,50.0,50.0,0.0,0.0
U_15424318,0.0,100.0,0.0,0.0
U_29648519,0.0,100.0,0.0,0.0
U_29005855,25.0,75.0,0.0,0.0
U_28682664,0.0,0.0,0.0,66.66666666666666
U_4184164,0.0,100.0,0.0,0.0
U_2037238,0.0,54.71698113207547,7.547169811320755,0.0
U_23202841,66.66666666666666,33.33333333333333,0.0,0.0
U_29209126,0.0,100.0,0.0,0.0
U_4490233,33.33333333333333,0.0,66.66666666666666,0.0
U_13822514,0.0,50.0,50.0,0.0
U_26430338,0.0,62.5,6.25,0.0
U_3767731,0.0,100.0,0.0,0.0
U_26379413,40.0,20.0,0.0,20.0
U_6226761,0.0,100.0,0.0,0.0
U_28726558,0.0,100.0,0.0,0.0
U_14929896,0.0,100.0,0.0,0.0
U_4131603,0.0,0.0,20.0,60.0
U_29423829,0.0,0.0,28.57142857142857,28.57142857142857
U_29054245,0.0,100.0,0.0,0.0
U_29325594,0.0,66.66666666666666,33.33333333333333,0.0
U_15404288,0.0,60.0,40.0,0.0
U_14905893,0.0,100.0,0.0,0.0
U_16011802,0.0,100.0,0.0,0.0
U_15307785,0.0,100.0,0.0,0.0
U_10670745,0.0,100.0,0.0,0.0
U_29467202,0.0,100.0,0.0,0.0
U_15129537,0.0,50.0,25.0,0.0
U_3493476,11.11111111111111,66.66666666666666,11.11111111111111,11.11111111111111
